BOMBA DE RECIRCULAÇÃO;Verificação do quadro de comando;MENSAL
BOMBA DE RECIRCULAÇÃO;Verificação de ruidos;MENSAL
BOMBA DE RECIRCULAÇÃO;Verificação de vazamento nas gaxetas ou selo;MENSAL
BOMBA DE RECIRCULAÇÃO;Efetuar reapertos terminais de todos os componentes elétricos;MENSAL
BOMBA DE RECIRCULAÇÃO;Tensão elétrica de motor;MENSAL
BOMBA DE RECIRCULAÇÃO;Corrente elétrica de motor;MENSAL
BOMBA DE RECIRCULAÇÃO;Verificar, retocar, se necessário, pintura do quadro;SEMESTRAL
BOMBA DE RECIRCULAÇÃO;Medir resistência de isolamento do motor (megar);ANUAL
