BOMBA DE RECIRCULAÇÃO;"Verificação do quadro de recomando";MENSAL;;
BOMBA DE RECIRCULAÇÃO;"Verificação de ruídos";MENSAL;;
BOMBA DE RECIRCULAÇÃO;"Verificação de vazamento na gaxetas";MENSAL;;
BOMBA DE RECIRCULAÇÃO;"Efetuar reapertos terminais de todos os componentes elétricos";MENSAL;;
BOMBA DE RECIRCULAÇÃO;"Verificar, retocar, se necessário, pintura do quadro";SEMESTRAL;;
BOMBA DE RECIRCULAÇÃO;"Medir resistência de isolamento do motor (megar)";ANUAL;;
